id,ticker,stock,industry
1185431e-25b6-11ec-9ffd-8c859079d2ba,NXTDIGITAL,NXTDigital Ltd.,TV Broadcasting & Software Production
1185435c-25b6-11ec-b535-8c859079d2ba,HMT,HMT Ltd.,Automobiles-Tractors
11854398-25b6-11ec-9c8c-8c859079d2ba,PRAGBOSIMI,Prag Bosimi Synthetics Ltd.,Textile
118543d4-25b6-11ec-a296-8c859079d2ba,HLVLTD,HLV Ltd.,"Hotel, Resort & Restaurants"
11854406-25b6-11ec-b12d-8c859079d2ba,IGPL,IG Petrochemicals Ltd.,Chemicals
11854442-25b6-11ec-93ff-8c859079d2ba,INDIAGLYCO,India Glycols Ltd.,Chemicals
1185447e-25b6-11ec-b0fa-8c859079d2ba,INDIALEASE,India Lease Development Ltd.,Finance - NBFC
118544ba-25b6-11ec-8e3e-8c859079d2ba,500206,Margo Finance Ltd.,Finance - NBFC
118544f6-25b6-11ec-b044-8c859079d2ba,INDORAMA,Indo Rama Synthetics (India) Ltd.,Textile - Manmade  Fibres
11854534-25b6-11ec-a50c-8c859079d2ba,INFY,Infosys Ltd.,IT - Software
1185456e-25b6-11ec-a146-8c859079d2ba,INGERRAND,Ingersoll-Rand (India) Ltd.,Compressors - Pumps
118545a8-25b6-11ec-9c87-8c859079d2ba,INSILCO,Insilco Ltd.,Chemicals
118545e6-25b6-11ec-8d01-8c859079d2ba,500212,Integrated Financial Services Ltd.,Finance - Investment
11854622-25b6-11ec-9809-8c859079d2ba,INTLTRAVHS,International Travel House Ltd.,Travel Services
1185465e-25b6-11ec-a228-8c859079d2ba,IONEXCHANG,Ion Exchange (India) Ltd.,Engineering - Industrial Equipments
11854690-25b6-11ec-935c-8c859079d2ba,ATFL,Agro Tech Foods Ltd.,Consumer Food
118546cc-25b6-11ec-9569-8c859079d2ba,JISLJALEQS,Jain Irrigation Systems Ltd.,Plastic Products
11854708-25b6-11ec-b2ff-8c859079d2ba,JASCHIND,Jasch Industries Ltd.,Textile - Weaving
11854746-25b6-11ec-8c7f-8c859079d2ba,JCT,JCT Ltd.,Textile
11854780-25b6-11ec-a52e-8c859079d2ba,CONSOFINVT,Consolidated Finvest & Holdings Ltd.,Finance - NBFC
118547ba-25b6-11ec-9dfe-8c859079d2ba,JINDALPOLY,Jindal Poly Films Ltd.,Plastic Products
118547f8-25b6-11ec-bec6-8c859079d2ba,JSWSTEEL,JSW Steel Ltd.,Steel & Iron Products
11854828-25b6-11ec-84f0-8c859079d2ba,UMANGDAIRY,Umang Dairies Ltd.,Consumer Food
11854866-25b6-11ec-b8f5-8c859079d2ba,KAJARIACER,Kajaria Ceramics Ltd.,Ceramics-Marble-Granite-Sanitaryware
