id,title,link,summary,published,source,org,mapped_stock_id,ticker,stock,industry
2d904296-0885-11ee-ad77-acde48001122,Trigyn Technologies shares advance on extension of over $250 million contract with United Nations,https://www.cnbctv18.com/market/stocks/trigyn-technologies-contract-extension-with-united-nations-information-and-communication-deal-16881661.htm,"Rest all the remaining terms and conditions of the contract remain unchanged, the company said.",2023-06-08 13:46:47,cnbc,Trigyn Technologies,1186400c-25b6-11ec-b28e-8c859079d2ba,TRIGYN,Trigyn Technologies Ltd.,IT - Software
2d904296-0885-11ee-ad77-acde48001122,Trigyn Technologies shares advance on extension of over $250 million contract with United Nations,https://www.cnbctv18.com/market/stocks/trigyn-technologies-contract-extension-with-united-nations-information-and-communication-deal-16881661.htm,"Rest all the remaining terms and conditions of the contract remain unchanged, the company said.",2023-06-08 13:46:47,cnbc,United Nations,,nan,nan,nan
2d9041ec-0885-11ee-ad77-acde48001122,Urban Enviro Waste Management to launch IPO on June 12,https://www.cnbctv18.com/market/urban-enviro-waste-management-to-launch-ipo-on-june-12-16885681.htm,"The shares of the company will be listed on the NSE EMERGE, a platform for small and medium enterprises, the company said in a statement.",2023-06-08 17:22:08,cnbc,IP,,nan,nan,nan
2d9041ec-0885-11ee-ad77-acde48001122,Urban Enviro Waste Management to launch IPO on June 12,https://www.cnbctv18.com/market/urban-enviro-waste-management-to-launch-ipo-on-june-12-16885681.htm,"The shares of the company will be listed on the NSE EMERGE, a platform for small and medium enterprises, the company said in a statement.",2023-06-08 17:22:08,cnbc,Urban Enviro Waste Management,,nan,nan,nan
2d903fda-0885-11ee-ad77-acde48001122,Here’s what IEX peers have to say about the incoming changes,https://www.cnbctv18.com/market/what-iex-peers-have-to-say-about-the-incoming-changes-hpx-market-coupling-16891811.htm,"Naveen Singh of Hindustan Power Exchange (HPX) believes market coupling, specifically price coupling, will enable exchanges in the Indian electricity market to gain market share and establish uniform prices. This change will introduce competition, dismantle the monopoly of Indian Energy Exchange (IEX), and promote innovation. ",2023-06-09 13:39:35,cnbc,IEX,11882dba-25b6-11ec-82b9-8c859079d2ba,IEX,Indian Energy Exchange Ltd.,Power Generation-Distribution
2d904070-0885-11ee-ad77-acde48001122,Why Indian Energy Exchange shares fell 15% today | Explained,https://www.cnbctv18.com/market/why-iex-indian-energy-exchange-shares-fell-over-8-percent-towards-the-end-of-trade-explained-16884891.htm,"The development would potentially take away IEX's moat of being the most dependable platform price determination as it will allow more exchanges to enter, which will increase competition for IEX.",2023-06-08 17:01:05,cnbc,Indian Energy Exchange,11882dba-25b6-11ec-82b9-8c859079d2ba,IEX,Indian Energy Exchange Ltd.,Power Generation-Distribution
2d904106-0885-11ee-ad77-acde48001122,IIFL Finance NCD issue opens today: Should you invest,https://www.cnbctv18.com/personal-finance/iifl-finance-ncd-issue-opens-today-should-you-invest-interest-rate-coupon-tenure-maturity-16889231.htm,"Non-convertible debentures (NCDs) are fixed-income instruments issued as a public issue to accumulate long-term capital appreciation. So, should you invest in this issue? Read on to know",2023-06-09 11:02:42,cnbc,IIFL Finance NCD,11878bee-25b6-11ec-8ecf-8c859079d2ba,IIFL,IIFL Finance Ltd.,Finance - Investment
2d90408e-0885-11ee-ad77-acde48001122,"Fortis, IEX, Avenue Supermarts and more: Friday's top brokerage calls",https://www.cnbctv18.com/photos/market/fortis-iex-avenue-supermarts-and-more-friday-top-brokerage-calls-16888951.htm,"Goldman Sachs has maintained a 'buy' rating on Fortis with a target of Rs 325 per share, while Macquarie has downgraded its rating from 'neutral' to 'outperform' for HDFC Life, ICICI Prudential Life and SBI Life.",2023-06-09 08:15:25,cnbc,Avenue Supermart,118827e8-25b6-11ec-b599-8c859079d2ba,DMART,Avenue Supermarts Ltd.,Retailing
2d90408e-0885-11ee-ad77-acde48001122,"Fortis, IEX, Avenue Supermarts and more: Friday's top brokerage calls",https://www.cnbctv18.com/photos/market/fortis-iex-avenue-supermarts-and-more-friday-top-brokerage-calls-16888951.htm,"Goldman Sachs has maintained a 'buy' rating on Fortis with a target of Rs 325 per share, while Macquarie has downgraded its rating from 'neutral' to 'outperform' for HDFC Life, ICICI Prudential Life and SBI Life.",2023-06-09 08:15:25,cnbc,Fortis,1187ab24-25b6-11ec-9484-8c859079d2ba,FORTIS,Fortis Healthcare Ltd.,Hospital & Healthcare Services
2d90408e-0885-11ee-ad77-acde48001122,"Fortis, IEX, Avenue Supermarts and more: Friday's top brokerage calls",https://www.cnbctv18.com/photos/market/fortis-iex-avenue-supermarts-and-more-friday-top-brokerage-calls-16888951.htm,"Goldman Sachs has maintained a 'buy' rating on Fortis with a target of Rs 325 per share, while Macquarie has downgraded its rating from 'neutral' to 'outperform' for HDFC Life, ICICI Prudential Life and SBI Life.",2023-06-09 08:15:25,cnbc,IEX,11882dba-25b6-11ec-82b9-8c859079d2ba,IEX,Indian Energy Exchange Ltd.,Power Generation-Distribution
